time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.551,0.751,0.6619523809523811,0.657,0.05460985101302144,0.41400000000000003,0.48,0.4553000000000001,0.454,0.01599093493201695,8.374,10.303,9.65955,9.654499999999999,0.38538519366991786,0.321,0.34,0.33260000000000006,0.332,0.004164132562731407,6.0520000000000005,7.7620000000000005,7.218950000000001,7.1915,0.38847901809492874,0.376,0.439,0.42075000000000007,0.421,0.012425276656879711,39.642,49.243,42.132400000000004,41.3715,2.2343560235557813,1.218,1.339,1.2522499999999999,1.2385000000000002,0.036516948120016796,21.692,28.759,24.37855,24.082,1.8383874584809372,0.403,0.40700000000000003,0.40490000000000004,0.4045,0.0011357816691600557,64,8,8192,22016,32768,True,4096,1
0.558,0.762,0.6573333333333335,0.65,0.05675958768041567,0.417,0.483,0.4525,0.4495,0.015428869044748552,8.323,10.168000000000001,9.58415,9.632000000000001,0.3481398102774229,0.32,0.338,0.33255,0.3335,0.003840247387864488,5.926,7.744,7.268700000000001,7.3215,0.398447374191373,0.379,0.442,0.42460000000000003,0.4265,0.01301691207621838,37.952,43.931,41.318999999999996,41.218500000000006,1.1371467803234552,1.217,1.294,1.2426499999999998,1.2385000000000002,0.018139115193415586,22.256,25.327,23.383499999999998,23.224,0.872418735470531,0.402,0.40900000000000003,0.40554999999999997,0.4055,0.0013219304066402298,64,8,8192,22016,32768,True,4096,1
0.485,0.754,0.6412857142857143,0.641,0.06120390810517692,0.387,0.481,0.45005000000000006,0.4495,0.017774912095422583,7.444,10.696,9.7374,9.7655,0.6450921174530038,0.32,0.339,0.33045,0.3295,0.004329838334164456,6.018,7.930000000000001,7.2783500000000005,7.2170000000000005,0.4235207521479911,0.387,0.436,0.42075000000000007,0.421,0.010177794456560805,38.377,47.424,41.856,41.2545,2.0453271620941234,1.211,1.343,1.2337500000000001,1.2225000000000001,0.03007802353878991,21.400000000000002,28.894000000000002,23.62565,22.918,1.941752926481637,0.4,0.40800000000000003,0.40215000000000006,0.402,0.0016815171720800251,64,8,8192,22016,32768,True,4064,1
0.558,0.708,0.6247619047619047,0.623,0.03743808191299687,0.418,0.465,0.44109999999999994,0.44,0.010765221781273258,8.789,10.361,9.58155,9.58,0.29103702084099203,0.315,0.331,0.32650000000000007,0.3265,0.0037881393849751653,5.905,7.806,7.20565,7.2255,0.42274570074691475,0.377,0.435,0.41764999999999997,0.4185,0.011096283161491503,39.801,50.745000000000005,41.97125,41.016,2.5959033471028934,1.196,1.281,1.2208,1.217,0.020483163818121465,21.387,25.39,23.1136,22.405,1.3296409816187225,0.397,0.4,0.398,0.398,0.0008366600265340764,64,8,8192,22016,32768,True,4032,1
0.593,0.757,0.644047619047619,0.635,0.04359715607858602,0.426,0.47900000000000004,0.44400000000000006,0.44,0.013091982279242525,9.415000000000001,10.370000000000001,9.785599999999999,9.767,0.25513259297863133,0.322,0.33,0.32625,0.327,0.0026622359023948296,6.9670000000000005,8.111,7.377300000000001,7.3505,0.3043931832351046,0.40700000000000003,0.438,0.4146500000000001,0.41500000000000004,0.006687862139727451,40.523,46.935,42.251,41.553,1.7977710087772585,1.186,1.343,1.2295500000000001,1.217,0.041197663768713866,21.72,28.902,24.543,24.0475,2.195031822092792,0.393,0.397,0.39515,0.395,0.0013143439428094927,64,8,8192,22016,32768,True,4000,1
0.595,0.781,0.6399047619047619,0.626,0.04985971249120092,0.429,0.482,0.44305000000000005,0.44,0.01381475660299522,9.238,9.941,9.5622,9.5745,0.17176571252726813,0.32,0.328,0.32355000000000006,0.3245,0.0023973944189473726,6.65,7.7,7.1272,7.1045,0.2516594126989888,0.405,0.427,0.41594999999999993,0.41450000000000004,0.0050840436662168646,38.894,44.123,40.52525000000001,40.088,1.2595844503247884,1.181,1.224,1.2049500000000002,1.2029999999999998,0.010307642795518277,20.421,25.532,21.771549999999998,21.255499999999998,1.4091007584626443,0.395,0.401,0.39805,0.398,0.0015321553446044575,64,8,8192,22016,32768,True,3968,1
0.601,0.807,0.6423333333333333,0.631,0.04599930986369806,0.428,0.493,0.44190000000000007,0.4385,0.014313979181206046,9.056000000000001,9.861,9.578149999999999,9.607,0.17222406190773687,0.317,0.324,0.32045,0.319,0.00245916652547159,6.652,7.69,7.088600000000001,7.0015,0.24117989136741902,0.4,0.421,0.40975,0.40900000000000003,0.0046138378818506316,38.574,45.9,40.28705,40.0435,1.4030583906238538,1.163,1.282,1.1949,1.189,0.023526368185506255,20.732,25.837,21.845099999999995,21.1675,1.5193796727612223,0.392,0.395,0.39404999999999996,0.394,0.0009733961166965902,64,8,8192,22016,32768,True,3936,1
0.538,0.753,0.5802857142857142,0.5720000000000001,0.04451018380758535,0.403,0.47200000000000003,0.41905000000000003,0.417,0.01439609322003716,8.526,11.539,8.98,8.849499999999999,0.6109639105544614,0.31,0.331,0.31505,0.3145,0.004128861828639949,6.385,8.976,6.77135,6.721500000000001,0.526590569133174,0.396,0.47100000000000003,0.40599999999999997,0.4035,0.01533297101021195,36.217,41.582,37.2663,37.058,1.07155494959428,1.149,1.366,1.1696500000000003,1.1585,0.0454062495698555,18.81,26.513,19.82985,19.576500000000003,1.566853256530426,0.39,0.392,0.39085000000000003,0.391,0.0008529361054615998,64,8,8192,22016,32768,True,3904,1
0.54,0.776,0.6058571428571429,0.578,0.06110824565535185,0.4,0.47900000000000004,0.42345,0.4165,0.020812195943724916,8.642,10.433,9.170350000000003,8.996500000000001,0.5009113968557712,0.31,0.321,0.31279999999999997,0.313,0.0022494443758404007,6.3100000000000005,7.1000000000000005,6.7644,6.7795000000000005,0.168135183706445,0.388,0.40800000000000003,0.39845,0.398,0.004295055296500853,36.244,43.249,38.03895000000001,37.2385,1.7802178932647545,1.141,1.36,1.1812999999999998,1.1520000000000001,0.06024043492538876,19.053,28.650000000000002,21.208350000000003,19.7725,2.914000999914036,0.386,0.391,0.38725,0.387,0.0012990381056766592,64,8,8192,22016,32768,True,3872,1
0.542,0.654,0.5854761904761904,0.585,0.03207820658747119,0.401,0.432,0.41370000000000007,0.41200000000000003,0.009844287683728047,8.265,9.43,8.556450000000002,8.502,0.26017138101643694,0.31,0.317,0.31245,0.313,0.0018020821290940115,6.47,7.405,6.7831,6.811999999999999,0.20904399058571382,0.391,0.417,0.39875,0.398,0.0060239106899090036,34.679,37.406,35.63549999999999,35.52,0.6779424385594988,1.133,1.185,1.14865,1.1475,0.010541702898488459,19.237000000000002,23.939,20.15665,19.8935,1.033900733871487,0.379,0.385,0.3812,0.381,0.0014000000000000013,64,8,8192,22016,32768,True,3840,1
0.541,0.899,0.6053809523809525,0.589,0.07599465907954835,0.402,0.522,0.42079999999999995,0.41200000000000003,0.02558437022871581,8.273,10.423,8.721,8.610500000000002,0.492848151056692,0.307,0.315,0.31020000000000003,0.31,0.002063976744055031,6.47,7.51,6.81085,6.8015,0.2302959563257679,0.386,0.421,0.39545,0.394,0.0071517480380673334,34.531,39.095,36.1443,35.927,1.17327124314883,1.127,1.283,1.15185,1.1385,0.034707744092637285,19.141000000000002,29.065,21.238899999999997,20.003999999999998,2.7913544722947674,0.376,0.381,0.3779,0.378,0.0013379088160259663,64,8,8192,22016,32768,True,3808,1
