time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.016,0.017,0.01642857142857143,0.016,0.0004948716593053939,0.011,0.012,0.011450000000000002,0.011,0.0004974937185533103,0.188,0.194,0.19080000000000003,0.191,0.0014696938456699082,0.007,0.008,0.007800000000000001,0.008,0.0004,0.054,0.056,0.05505,0.055,0.0004974937185533105,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,0.329,0.339,0.334,0.3345,0.002489979919597749,0.019,0.02,0.019100000000000002,0.019,0.00030000000000000024,0.122,0.128,0.12505000000000002,0.1255,0.0018834808201837383,0.007,0.008,0.007600000000000001,0.008,0.0004898979485566356,32,32,4096,11008,32768,True,256,2
0.014,0.016,0.015761904761904765,0.016,0.0005259695722470126,0.011,0.011,0.011000000000000001,0.011,1.734723475976807e-18,0.184,0.188,0.18560000000000001,0.185,0.0011575836902790234,0.007,0.008,0.007200000000000001,0.007,0.00039999999999999996,0.054,0.055,0.0543,0.054,0.0004582575694955844,0.011,0.012,0.011950000000000002,0.012,0.00021794494717703385,0.323,0.335,0.32880000000000004,0.329,0.003140063693621519,0.018000000000000002,0.019,0.018800000000000004,0.019,0.00039999999999999893,0.121,0.122,0.12149999999999998,0.1215,0.0005000000000000004,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,32,32,4096,11008,32768,True,248,2
0.013000000000000001,0.017,0.01566666666666667,0.016,0.0007766431633476236,0.01,0.012,0.011500000000000002,0.012,0.0008062257748298552,0.182,0.194,0.18925,0.191,0.0036588932752951438,0.007,0.008,0.007250000000000001,0.007,0.00043301270189221935,0.053,0.056,0.05535000000000001,0.056,0.0009096702699330135,0.011,0.013000000000000001,0.012000000000000002,0.012,0.0005477225575051667,0.322,0.333,0.3283,0.328,0.002551470164434617,0.018000000000000002,0.019,0.018750000000000006,0.019,0.00043301270189221816,0.11900000000000001,0.131,0.12775000000000003,0.13,0.004205650960315182,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,32,32,4096,11008,32768,True,240,2
0.013000000000000001,0.016,0.01547619047619048,0.016,0.0007315376902732008,0.01,0.012,0.0108,0.011,0.0005099019513592782,0.18,0.189,0.1851,0.187,0.0032388269481403325,0.007,0.008,0.0071,0.007,0.00030000000000000003,0.054,0.057,0.054900000000000004,0.055,0.0008888194417315596,0.011,0.012,0.011950000000000002,0.012,0.00021794494717703385,0.32,0.33,0.32595,0.3265,0.002889204042638736,0.018000000000000002,0.019,0.018350000000000005,0.018000000000000002,0.0004769696007084716,0.12,0.129,0.1251,0.127,0.0033151168908501583,0.006,0.007,0.006550000000000002,0.007,0.0004974937185533101,32,32,4096,11008,32768,True,232,2
0.012,0.016,0.014619047619047622,0.015,0.0007853534524986018,0.01,0.012,0.011450000000000002,0.012,0.0007399324293474372,0.179,0.189,0.18575000000000003,0.1875,0.0032384409829422584,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.054,0.056,0.05525000000000001,0.055,0.0007664854858377951,0.011,0.012,0.011850000000000003,0.012,0.00035707142142714284,0.323,0.329,0.3263,0.3265,0.001452583904633396,0.018000000000000002,0.018000000000000002,0.018000000000000006,0.018000000000000002,3.469446951953614e-18,0.12,0.131,0.1267,0.129,0.004439594576084626,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,32,32,4096,11008,32768,True,224,2
0.012,0.014,0.013857142857142861,0.014,0.0004665694748158434,0.009000000000000001,0.01,0.009400000000000002,0.009000000000000001,0.0004898979485566351,0.177,0.184,0.18134999999999998,0.1825,0.002104162541250083,0.005,0.006,0.0055000000000000005,0.0055,0.0005,0.052000000000000005,0.054,0.053700000000000005,0.054,0.0005567764362830016,0.01,0.011,0.0103,0.01,0.0004582575694955836,0.299,0.306,0.30235,0.302,0.001739971264130533,0.015,0.016,0.015150000000000002,0.015,0.0003570714214271428,0.12,0.127,0.1236,0.125,0.0024372115213907907,0.005,0.006,0.005850000000000001,0.006,0.0003570714214271425,32,32,4096,11008,32768,True,216,2
0.012,0.014,0.013190476190476193,0.013000000000000001,0.0004994327848429291,0.009000000000000001,0.009000000000000001,0.009000000000000003,0.009000000000000001,1.734723475976807e-18,0.179,0.182,0.18,0.18,0.0008366600265340764,0.005,0.006,0.00525,0.005,0.0004330127018922194,0.053,0.055,0.05415000000000001,0.054,0.0005722761571129803,0.01,0.01,0.010000000000000002,0.01,1.734723475976807e-18,0.3,0.305,0.30315,0.303,0.0011521718621802922,0.014,0.015,0.014800000000000002,0.015,0.00039999999999999964,0.122,0.125,0.1234,0.123,0.0007348469228349541,0.005,0.006,0.005350000000000001,0.005,0.00047696960070847287,32,32,4096,11008,32768,True,208,2
0.012,0.014,0.013238095238095242,0.013000000000000001,0.0005259695722470122,0.01,0.01,0.010000000000000002,0.01,1.734723475976807e-18,0.176,0.179,0.17729999999999999,0.177,0.001100000000000001,0.006,0.007,0.006100000000000001,0.006,0.00030000000000000003,0.053,0.055,0.053849999999999995,0.054,0.0004769696007084733,0.01,0.01,0.010000000000000002,0.01,1.734723475976807e-18,0.301,0.309,0.30335,0.303,0.0019817921182606435,0.014,0.015,0.014150000000000001,0.014,0.0003570714214271422,0.126,0.131,0.12674999999999997,0.1265,0.0011346805717910228,0.005,0.005,0.005000000000000001,0.005,8.673617379884035e-19,32,32,4096,11008,32768,True,200,2
0.011,0.013000000000000001,0.01266666666666667,0.013000000000000001,0.0005634361698190115,0.009000000000000001,0.009000000000000001,0.009000000000000003,0.009000000000000001,1.734723475976807e-18,0.14,0.14300000000000002,0.14175000000000001,0.14200000000000002,0.0007664854858377951,0.005,0.005,0.005000000000000001,0.005,8.673617379884035e-19,0.052000000000000005,0.055,0.054100000000000016,0.054,0.0007681145747868605,0.009000000000000001,0.01,0.009850000000000003,0.01,0.00035707142142714224,0.295,0.303,0.3005,0.3005,0.0021095023109729003,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.12,0.127,0.12484999999999999,0.126,0.0024954959426935585,0.005,0.005,0.005000000000000001,0.005,8.673617379884035e-19,32,32,4096,11008,32768,True,192,2
0.01,0.012,0.011904761904761908,0.012,0.00042591770999995997,0.008,0.009000000000000001,0.008750000000000003,0.009000000000000001,0.0004330127018922198,0.139,0.14200000000000002,0.14045000000000002,0.14,0.0007399324293474377,0.005,0.005,0.005000000000000001,0.005,8.673617379884035e-19,0.052000000000000005,0.054,0.053000000000000005,0.053,0.0007745966692414814,0.009000000000000001,0.01,0.009550000000000003,0.01,0.0004974937185533095,0.306,0.31,0.30755000000000005,0.307,0.0009733961166965902,0.013000000000000001,0.014,0.013050000000000003,0.013000000000000001,0.00021794494717703353,0.11800000000000001,0.123,0.12109999999999999,0.122,0.0018138357147217013,0.004,0.005,0.004500000000000001,0.0045000000000000005,0.0005,32,32,4096,11008,32768,True,184,2
