time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.002,0.003,0.002047619047619048,0.002,0.00021295885499998,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.209,0.211,0.2097,0.21,0.0005567764362830027,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.074,0.074,0.07400000000000001,0.074,1.3877787807814457e-17,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.368,0.37,0.36835,0.368,0.0005722761571129804,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.182,0.183,0.18249999999999997,0.1825,0.0005000000000000004,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,32,32,4096,11008,32768,True,1,1
0.002,0.002,0.0020000000000000005,0.002,4.336808689942018e-19,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.209,0.21,0.20974999999999996,0.21,0.0004330127018922197,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.074,0.074,0.07400000000000001,0.074,1.3877787807814457e-17,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.367,0.369,0.36815000000000003,0.368,0.0004769696007084733,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.182,0.183,0.18229999999999996,0.182,0.0004582575694955844,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,32,32,4096,11008,32768,True,1,1
0.002,0.002,0.0020000000000000005,0.002,4.336808689942018e-19,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.209,0.21,0.20949999999999996,0.2095,0.0005000000000000004,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.074,0.074,0.07400000000000001,0.074,1.3877787807814457e-17,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.367,0.368,0.3679500000000001,0.368,0.00021794494717703385,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.182,0.184,0.18255,0.1825,0.0005894913061275802,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,32,32,4096,11008,32768,True,1,1
0.002,0.002,0.0020000000000000005,0.002,4.336808689942018e-19,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.209,0.211,0.20965000000000003,0.21,0.0005722761571129803,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.074,0.074,0.07400000000000001,0.074,1.3877787807814457e-17,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.367,0.369,0.3681,0.368,0.00043588989435406776,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.182,0.183,0.18239999999999998,0.182,0.000489897948556636,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,32,32,4096,11008,32768,True,1,1
0.002,0.002,0.0020000000000000005,0.002,4.336808689942018e-19,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.209,0.211,0.20945,0.209,0.0005894913061275804,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.074,0.074,0.07400000000000001,0.074,1.3877787807814457e-17,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.367,0.369,0.36810000000000004,0.368,0.0004358898943540677,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.182,0.183,0.18244999999999997,0.182,0.0004974937185533105,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,32,32,4096,11008,32768,True,1,1
0.002,0.002,0.0020000000000000005,0.002,4.336808689942018e-19,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.209,0.21,0.20950000000000002,0.2095,0.0005000000000000006,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.074,0.074,0.07400000000000001,0.074,1.3877787807814457e-17,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.368,0.369,0.36825,0.368,0.0004330127018922197,0.007,0.008,0.007050000000000001,0.007,0.0002179449471770337,0.182,0.183,0.18255,0.183,0.0004974937185533104,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,32,32,4096,11008,32768,True,1,1
0.002,0.002,0.0020000000000000005,0.002,4.336808689942018e-19,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.209,0.21,0.20939999999999998,0.209,0.000489897948556636,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.074,0.074,0.07400000000000001,0.074,1.3877787807814457e-17,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.368,0.369,0.36829999999999996,0.368,0.0004582575694955844,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.182,0.183,0.18239999999999995,0.182,0.000489897948556636,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,32,32,4096,11008,32768,True,1,1
0.002,0.002,0.0020000000000000005,0.002,4.336808689942018e-19,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.209,0.211,0.20945,0.209,0.0005894913061275802,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.074,0.074,0.07400000000000001,0.074,1.3877787807814457e-17,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.367,0.37,0.36815000000000003,0.368,0.0005722761571129804,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.182,0.183,0.18219999999999997,0.182,0.00040000000000000034,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,32,32,4096,11008,32768,True,1,1
0.002,0.002,0.0020000000000000005,0.002,4.336808689942018e-19,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.209,0.21,0.20925,0.209,0.0004330127018922198,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.074,0.074,0.07400000000000001,0.074,1.3877787807814457e-17,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.367,0.369,0.36810000000000004,0.368,0.0004358898943540677,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.182,0.184,0.18259999999999998,0.183,0.0005830951894845307,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,32,32,4096,11008,32768,True,1,1
0.002,0.002,0.0020000000000000005,0.002,4.336808689942018e-19,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.209,0.211,0.20959999999999995,0.21,0.0005830951894845306,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.074,0.074,0.07400000000000001,0.074,1.3877787807814457e-17,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,0.368,0.369,0.36810000000000004,0.368,0.00030000000000000024,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.182,0.184,0.18259999999999998,0.183,0.0005830951894845306,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,32,32,4096,11008,32768,True,1,1
