arrived_at,num_prefill_tokens,num_decode_tokens
0.0,374,44
4.314579,396,109
4.541877,879,55
4.710427,91,16
5.8926549999999995,91,16
6.311529,381,84
7.745497,1313,142
8.251431,388,84
8.337079,242,14
8.464985,209,152
8.700213,394,124
9.427468,394,59
9.582558,1315,174
10.106379,2221,15
10.546126,389,90
11.157911,415,106
11.430904,120,12
11.836632999999999,369,74
12.886545,206,162
13.025088,1353,142
13.049843,197,152
14.05955,181,154
14.09778,388,54
14.293309,4085,62
17.420918,2584,170
17.792938,203,147
18.160513,126,194
18.463892,389,87
18.979439,2548,116
19.913927,91,16
19.945197,4081,74
20.478941,181,123
20.658352999999998,191,217
20.941916,27,183
21.370065,203,217
21.375087,398,81
22.712872,126,172
22.994856,209,181
23.371403,209,181
24.146296,28,175
24.768385,437,88
24.894961,181,104
25.081422,203,138
25.223379,200,177
25.24984,4073,58
25.324254,91,16
25.917107,1087,401
26.254478,382,64
26.407057000000002,412,102
26.461144,194,217
27.330266,203,217
27.552529,200,217
28.090234,64,174
28.353357,458,123
28.578535,1352,158
28.607772,874,404
28.764379,378,58
29.340288,91,16
29.686078,4074,50
30.181499,389,89
